Timestamp;LeftEye;X;Y;Z;RightEye;X;Y;Z
1572849599,431;True;-75,4713973999023;230,991577915731;803,079138881925;True;-4,3392276763916;206,891693976755;767,136875918598
1572849614,408;True;-75,4887771606445;231,076207924653;803,182916008034;True;-4,3538122177124;206,924697610454;767,199753282871
1572849629,417;False;0;0;0;True;-4,34239625930786;206,836262398948;767,227072053192
1572849644,416;True;-75,5707702636719;231,113396964198;803,299025132821;True;-4,41675806045532;206,915112816909;767,204671090131
1572849659,393;False;0;0;0;True;-4,47614765167236;206,931566402994;767,234081313877
1572849674,43;True;-75,6527481079102;231,177774405024;803,334114382296;True;-4,51570510864258;206,906942992854;767,27448135584
1572849705,514;True;-75,6240768432617;231,098835583713;803,118430432509;True;-4,50858592987061;207,158812232754;767,546602303125
1572849719,436;True;-75,558708190918;231,020986439372;802,926707155532;True;-4,44119691848755;207,15667884455;767,734507968347
1572849734,413;True;-75,5819244384766;231,033388167955;802,949603048324;True;-4,45727586746216;207,268182356859;767,771344700749
1572849764,392;False;0;0;0;True;-4,3717155456543;207,367143518949;768,092044011116
1572849779,431;True;-75,5399475097656;231,49206290327;803,741025473266;True;-4,36018419265747;207,648269816422;768,427366823233
1572849794,374;False;0;0;0;True;-4,31179237365723;207,801285223645;768,710853235553
1572849809,434;True;-75,3995819091797;231,704761202808;804,044941826639;True;-4,21248388290405;207,758267286885;768,802051821582
1572849824,407;True;-75,3503875732422;231,731693688661;804,027993646047;False;0;0;0
1572849855,525;True;-75,0995941162109;231,645281235928;803,739360030283;True;-3,96350073814392;207,74325742179;768,796928069202
1572849869,428;True;-75,033821105957;231,576548903137;803,591798774939;True;-3,92767572402954;207,826176058769;768,803704020797
1572849884,396;True;-74,9073715209961;231,442535468598;803,281844880912;False;0;0;0
1572849899,393;True;-74,7796478271484;231,352296220344;803,077094310639;True;-3,73122930526733;207,763275036383;768,976965674016
1572849914,438;True;-74,7471160888672;231,422641805013;803,28382495345;True;-3,67177176475525;207,796016924199;768,906005568391
1572849944,392;True;-74,4080429077148;231,684963003073;803,782464161056;True;-3,37606811523438;207,418874187911;768,40038158295
1572849959,404;True;-74,3688735961914;231,561271397748;803,601776547851;True;-3,36497831344604;207,090247073087;767,624561391525
