Timestamp;GazeX;GazeY;LeftEye;RightEye
24676906,8275098;949,037725772455;151,947612612151;True;True
24676921,9763122;951,342918386612;153,208783037001;True;True
24676936,9217418;958,525346792434;142,28440189337;True;True
24676967,7922115;969,883656145929;140,566244510073;True;True
24676981,8203728;974,861144138805;142,226474213057;True;True
24676996,1134889;978,666969037825;142,742403673377;True;True
24677011,6139171;989,298596992838;142,477900976509;True;True
24677027,3025127;991,866210022506;144,083077202979;True;True
24677041,8807308;996,772404753112;147,116400239492;True;True
24677056,6820888;999,683980606542;146,770920502117;True;True
24677071,8685246;1000,23907254952;146,548809555263;True;True
24677087,2195594;1001,60171419849;146,459652424734;True;True
24677117,8999611;998,115423280099;143,212608610721;True;True
24677132,0406426;994,542383221235;147,19523892993;True;True
24677146,8572061;991,700356589582;150,376328071726;True;True
24677162,1139671;992,921307719326;148,806784689621;True;True
24677176,7043496;994,254561152052;147,157744346658;True;True
24677191,7790254;994,941903962303;142,227195015584;True;True
24677206,8324136;999,099726791628;134,886095417996;True;True
24677221,8375245;999,625932142968;135,157789038205;True;True
24677236,7707897;1023,31514792234;135,663293100213;True;True
24677267,6735711;1030,45966140276;138,56378061601;True;True
24677281,6732221;1036,12042699192;138,325933791421;True;True
24677297,0478253;1046,19341860258;127,996894970268;True;True
24677311,9468783;1045,99974125386;118,176446603003;True;True
24677327,0496842;1047,23225015792;118,379818400412;True;True
24677341,962422;1047,07123110549;118,940063382807;True;True
24677356,7481944;1045,42272583569;119,434642773155;True;True
24677371,9319693;1045,6894413866;118,862356215126;True;True
24677386,8515496;1046,94365694406;115,578101159522;True;True
24677417,9101868;1047,55208182064;117,296705538984;True;True
24677432,1348784;1048,03332933724;117,686343346463;True;True
24677446,865531;1047,39671097367;117,146403736086;True;True
24677462,2017405;1059,03632368226;123,063926571866;True;True
24677477,4258098;1062,57516916495;128,476583939715;True;True
24677491,5843577;1064,85663415762;126,030381040075;True;True
24677506,5309277;1065,80713956675;122,808597978031;True;True
24677522,1841706;1064,54136585182;125,820209300329;True;True
24677536,9098815;1062,61154513009;123,662782511721;True;True
24677568,1163916;1060,25495185696;119,836686055421;True;True
24677581,9461218;1048,81619130717;125,264088277078;True;True
24677596,8006988;1045,69804510338;127,703636424199;True;True
24677612,4083254;1050,18031953988;120,161312666191;True;True
24677627,0808173;1050,90348163774;118,8453011584;True;True
24677641,6001143;1052,19840910899;117,60973919975;True;True
24677657,0948405;1055,43414876007;110,0650770471;True;True
24677671,559398;1059,34170327339;109,597933105047;True;True
24677686,5588069;1026,49417432502;118,994970303816;True;True
24677717,8215771;906,410718864785;157,079104474201;True;True
24677731,6916017;878,919811216142;156,969716720471;True;True
24677747,0335132;806,340386448668;158,529513366932;True;True
24677761,9188812;818,053142374329;158,162255787602;True;True
24677777,0425946;810,173813458571;149,678411070056;True;True
24677792,3666397;806,806314216975;144,535166735551;True;True
24677806,7741767;805,964020770872;144,305876709932;True;True
24677823,0386785;801,640657589014;156,027255160436;True;True
24677837,0702609;797,14160645869;150,77006492429;True;True
24677867,9350287;799,675205384201;166,673249618691;True;True
24677882,0342753;797,240793805167;168,046566937752;True;True
24677896,4912301;793,680741700967;176,253924494128;True;True
24677911,8913024;789,706923319601;184,187103213179;True;True
24677927,1146114;789,974540537499;186,146873733443;True;True
24677941,5384943;790,05496228247;186,71205689981;True;True
24677956,4938074;789,881086516892;188,041932276044;True;True
24677972,037191;793,163682419361;180,110552143546;True;True
24677986,5184744;795,823147456308;188,86601903409;True;True
24678018,050381;800,184118941849;176,296148254056;True;True
24678031,9945321;799,852796671408;173,355160974675;True;True
24678046,4959628;799,287633942084;171,436324179949;True;True
24678062,0880038;803,083663578931;182,304402051398;True;True
24678076,9076083;804,70527465623;184,152763849732;True;True
24678091,2410188;805,195078271628;184,544740211726;False;True
24678106,9543232;810,852629435889;182,292149570871;False;True
24678121,7739278;829,763396433406;184,484317115363;True;True
24678136,274218;860,439831760398;163,97776400292;True;True
24678167,2351602;878,733822332422;149,970543597868;False;True
24678181,1428183;884,537211954291;150,252105652671;False;True
24678196,5390892;869,631297726942;166,763529913028;True;True
24678211,6266897;869,298027427452;173,171976846133;True;True
24678226,5196604;880,170179520921;158,264141820237;True;True
24678241,9744723;876,628660931973;164,495456026819;False;True
24678256,4971906;872,177769668652;172,426285547468;True;True
24678271,579089;870,931391026956;177,772698567532;True;True
24678286,9301238;869,522650931731;182,001012622189;True;True
24678317,6523405;872,462073401936;191,003113515237;True;True
24678331,9158059;873,296000821973;192,067252099768;True;True
24678347,843127;875,823253580803;196,361015191439;False;True
24678361,5686999;875,390321197666;195,713807467384;True;True
24678376,8170979;872,746234292428;196,148326994587;True;True
24678391,8016815;862,727446481171;208,557432740558;True;True
24678406,4034681;869,402827375711;191,006160139253;False;True
24678421,8970538;867,515651131141;186,744177475295;False;True
24678436,6467133;861,812405449571;195,761963039101;True;True
24678467,860446;855,145772944137;205,57251312693;True;True
24678481,6160496;846,48504267215;218,818980360099;True;True
24678496,2402642;851,81816234364;213,699352636275;True;True
24678511,8577744;847,168691602524;218,694716065513;True;True
24678526,6739577;840,10780027839;206,921395515116;True;True
24678541,7132809;839,183482396736;204,141629533606;True;True
24678556,9924699;838,002417863529;204,442324739193;True;True
24678571,2030964;845,017413199195;198,041723685716;True;True
24678586,5366449;869,225637663433;189,052153332999;True;True
24678617,3546559;918,453706758354;165,999256898605;False;True
24678631,4907758;894,659062087918;179,793764495475;False;True
24678646,6775918;899,791538592952;183,60282043659;True;True
24678661,5105011;931,85586898802;177,11253629792;True;True
24678676,780947;927,487596622675;187,742618633373;True;True
24678691,8445989;924,796263448114;189,679939580839;True;True
24678706,1217492;936,944366917311;182,991108269443;True;True
24678721,6890814;934,466220083062;181,476899849368;True;True
24678736,6029597;927,60238690039;187,158944653473;True;True
24678767,5779669;928,66086643437;178,632878015789;True;True
24678781,9284835;926,631953494291;177,581607921424;True;True
24678796,563722;925,001231245521;181,040665060807;True;True
24678811,7463565;925,09216314665;182,067497964956;True;True
24678826,9282307;928,100296006218;183,547447097335;True;True
24678841,6307533;965,772240533793;170,426303112213;True;True
24678856,4267894;970,257534416376;174,099096323566;True;True
24678871,8394062;969,496581112486;173,207395240999;True;True
24678886,9003971;979,885997840959;170,671887034157;True;True
24678917,8807262;974,550363500212;183,170305902274;True;True
24678931,5397753;970,697655718094;184,008035470888;True;True
24678946,625095;971,088122736242;185,859416797615;True;True
24678962,0764857;966,571058536924;182,227351635965;True;True
24678977,1465999;965,500038215044;180,707585018095;True;True
24678991,8742115;965,168147444355;178,208430199837;True;True
24679006,8299047;966,139674153792;170,343320904439;True;True
24679021,5757628;972,070845804151;159,819305133933;True;True
24679036,777024;977,032018942565;149,719139667059;True;True
24679068,346564;996,310965369164;161,080413803912;True;True
24679081,820867;1004,42962000846;174,879014414243;True;True
24679096,9521831;1014,93271079501;185,296426107761;True;True
24679111,7128665;1023,17361437945;192,746679424897;True;True
24679127,2007502;1024,13262109469;197,040334099938;True;True
24679142,3613368;1032,80390925103;197,389905645897;True;True
24679156,4035631;1033,55784510148;198,083760793218;True;True
24679171,5607284;1039,58753226843;190,656436049941;True;True
24679186,9927322;1042,97681763044;193,837843196614;True;True
24679217,8962738;1053,61038021584;170,216090840195;True;True
24679232,2388076;1061,19166155255;165,161706312725;True;True
24679246,7721696;1061,78600033496;167,789041961541;True;True
24679262,0152457;1073,06512810754;179,752881958263;True;True
24679277,1188119;1076,90205841333;183,490362102104;True;True
24679291,69703;1079,85311635708;185,008851996805;True;True
24679306,5728947;1074,45653151364;188,164466680846;True;True
24679322,0356895;1074,02207389704;185,910615852267;True;True
24679336,6587636;1074,40101854588;184,264039148798;True;True
