x;y;duration
1278,142;661,0004;328,0313
1316,488;678,2861;389,2969
1380,026;689,2009;345,0938
1420,907;684,5064;375,1719
1473,58;688,374;173,3281
1517,275;678,9459;196,9922
1616,57;680,2808;360,6719
1669,481;696,4931;301,2344
170,9114;691,176;240,8594
244,9315;697,1575;240,9063
307,65;707,6644;464,8047
364,2518;698,6682;299,6484
420,1671;696,7177;281,6563
458,3586;695,1372;360,2266
514,8506;703,8143;599,0391
583,9125;698,5421;269,5547
635,1389;708,637;525,5313
688,58;703,5532;283,3281
783,4702;706,9475;466,375
844,855;715,8339;121,5938
784,9616;712,805;331,3125
839,3575;701,5101;404,2734
952,8015;711,2601;344,9844
1006,648;705,3356;239,9219
1113,557;705,2844;324,5547
1240,528;710,1877;584,5547
1299,416;714,7344;348,0391
1357,134;710,3098;288,0781
1393,563;722,4976;180,6484
1502,877;708,1813;748,4453
1569,192;706,9917;268,2422
1631,49;709,8752;644,4766
121,1187;690,2969;180,9531
187,5393;710,9398;330,1406
290,2179;720,2878;464,5078
332,1572;719,7115;227,0938
330,7097;722,9379;240,3672
394,9806;723,8229;208,0625
437,7004;725,1987;555,5625
500,7759;733,761;257,0391
561,254;737,035;481,7891
650,8542;741,9009;511,3672
207,4442;766,0073;300,3203
274,7191;761,4811;481,2344
358,5886;776,8494;256,2891
388,5657;776,6649;283,4297
354,02;781,021;165,9609
466,6606;781,4582;375,875
569,2305;793,9561;344,1328
672,5255;787,9086;375,0547
725,3824;788,4121;359,6875
820,1389;792,6965;707,6484
870,3369;793,5115;315,1719
928,0946;793,9667;480,4219
1011,782;786,1641;449,9766
1086,931;795,9379;314,4297
1112,738;791,2421;206,7813
1181,843;799,7218;753,2344
1270,047;799,3995;466,1172
1306,767;802,5707;164,1563
1391,897;801,0383;616,7109
1459,18;803,887;236,8438
1539,199;791,677;388,4141
1671,708;777,9724;195,3672
1694,465;784,8727;195,3125
182,0324;813,9357;387,9766
239,5729;816,5302;373,7422
297,6787;813,7091;719,8984
391,8441;807,9912;330,375
450,5255;810,0396;463,9219
585,6992;821,5118;251,9375
649,3251;828,0678;285,6328
721,1053;834,1458;271,2891
781,0478;830,3552;403,5625
888,0212;826,6752;286,4609
939,635;820,0096;361,3203
1057,275;828,6293;256,6328
1119,743;831,3721;345,625
1186,616;827,6177;450,1016
1215,461;821,0954;224,6172
1302,855;832,7415;373,5391
1356,366;833,877;359,0547
1428,976;831,3953;315,0625
1541,464;818,4091;210,0547
1463,629;825,3797;238,3828
1569,489;809,9854;241,2266
1634,873;821,0595;298,9531
1679,005;822,6652;149,9219
281,123;824,6395;136,4297
209,4766;849,6093;254,5703
273,1845;850,5267;301,4688
315,6766;845,782;342,8984
387,9786;839,6179;330,9844
424,463;851,8033;150,2813
457,1235;847,1694;214,6875
557,6357;853,9995;270,2422
652,9413;848,4689;161,0313
247,3419;899,1735;450,4453
280,449;897,8537;239,4922
306,443;903,1238;242,5547
349,6975;895,8373;117,4297
419,8772;910,8234;598,3672
469,0696;895,3364;269,8125
512,2809;902,0059;375,2813
571,8653;908,6516;612,5859
623,0493;914,6074;197,6484
705,0376;904,1815;313,4531
763,4997;905,3194;195,625
828,6779;906,0061;146,9063
885,2033;904,0397;361,4531
955,5037;897,868;242,2031
1000,235;904,5853;255,1719
1068,782;905,1009;1140,406
1101,33;906,3572;148,5859
1173,377;913,1121;343,6719
1236,243;915,9504;330,5156
1280,946;912,9042;421,6641
1358,274;923,449;344,9609
1395,204;914,0488;283,2969
1467,559;912,1597;297,0078
1527,206;910,6671;327,2734
1579,801;897,3102;194,8047
1606,022;907,6743;1124,992
1655,984;912,533;314,4063
1701,63;907,566;149,9375
238,7294;950,4908;299,6719
284,6137;939,1755;553,3281
340,9689;945,9215;161,9063
406,8846;935,2467;569,7969
491,0428;935,5765;392,2813
561,9521;936,9146;316,2344
611,7339;944,3522;240,6406
689,1069;941,4561;197,6406
715,229;941,8857;314,9375
745,4724;938,1554;194,2188
809,3932;939,4438;284,375
874,1531;931,0366;345,2031
955,5416;933,5132;238,7969
1024,85;925,4957;285,0469
1081,597;938,0684;478,9531
1168,095;940,3132;255,7969
1234,304;943,9655;496,5781
1276,759;942,2733;256,1406
1336,556;944,9523;286,5469
1408,013;937,6467;240,0156
1460,169;936,7091;224,9375
1521,563;944,2434;343,6875
1591,786;943,3052;208,6875
1705,703;932,4951;179,8125
222,4081;965,2867;554,6406
318,6433;965,207;723,0469
380,0535;966,8132;151,2188
439,2269;967,9851;283,7031
532,6913;978,2049;208,5313
582,736;972,3047;314,2344
625,9902;976,4553;178,9844
703,3115;970,5881;283,9063
775,2582;969,9213;236,9063
828,5128;971,9248;523,5938
953,8911;962,1445;556,6719
1012,197;963,4958;268,9375
1053,32;960,1022;343,7969
1135,193;970,577;148,6094
1065,593;967,971;151,4375
1147,804;972,7986;341,8594
1199,477;969,42;328,2656
1272,783;969,8054;287,3125
1351,793;972,5225;328,3438
1438,78;974,1042;586,2969
1467,991;969,2214;197,5469
