Timestamp;LeftEye;X;Y;Z;RightEye;X;Y;Z
83772638,107;False;0;0;0;True;-10,2745666503906;206,357025514595;728,064059592021
83772653,11;False;0;0;0;True;-10,3022775650024;206,959434563449;728,613571572924
83772683,106;False;0;0;0;True;-10,3588590621948;206,734056093411;730,074091830017
83772698,105;False;0;0;0;True;-10,3879156112671;207,435760685276;730,501854699312
83772728,13;False;0;0;0;True;-10,3934745788574;207,323916382964;731,045491071614
83772773,105;True;-79,2575531005859;209,763555162239;730,50045708975;True;-10,3631467819214;207,477503665091;730,96893326666
83772788,097;False;0;0;0;True;-10,343035697937;207,188725436199;731,138930706483
83772818,106;True;-79,1843032836914;209,76704138172;730,505618467191;True;-10,2693090438843;207,4483891246;730,983232709641
83772833,114;True;-79,161262512207;209,550510054118;730,643928322435;True;-10,2185907363892;207,137472360002;730,866533766711
83772848,081;True;-78,8804702758789;209,476764953013;730,672458931966;False;0;0;0
83772863,118;True;-79,0766220092773;209,669136717035;730,564961602364;True;-10,1247138977051;207,05033356302;730,541986262091
83772878,106;True;-79,0514373779297;209,584881228108;730,637133673653;True;-10,0633296966553;206,673606114656;730,09154782336
83772909,183;True;-78,9812698364258;209,715136823993;730,550946423811;True;-10,0171852111816;206,268657907245;728,986267722234
83772923,071;True;-78,9950714111328;209,606853767234;730,631474367828;True;-9,9821605682373;205,99369747404;728,764118903401
83772953,109;True;-78,830696105957;210,031912088871;730,682335676444;True;-9,84683513641357;206,202374866213;728,494930558417
83772968,043;False;0;0;0;True;-9,78981685638428;205,949480636949;728,51462227943
83772998,026;True;-78,987663269043;210,665186117541;731,800379301225;True;-9,8673095703125;206,014201112217;727,980798472123
83773013,1;False;0;0;0;True;-9,81958770751953;205,873300492074;728,011039069813
83773059,189;False;0;0;0;True;-9,84552955627441;205,567482424376;727,349286625426
83773088,095;True;-79,1282806396484;210,786023346226;732,749000744406;True;-9,90323257446289;204,669756068163;725,947266853624
83773103,06;True;-79,113883972168;210,851451466805;732,744931682625;True;-9,85685920715332;204,475863182701;725,439438336607
83773133,089;True;-79,0760803222656;210,823053838178;732,735392429295;True;-9,84788703918457;204,131929733543;724,790454989624
83773148,089;False;0;0;0;True;-9,86393451690674;204,051790578163;724,520582889036
83773328,064;False;0;0;0;True;-8,68926239013672;229,770047653368;776,84142279275
83773359,132;True;-77,9470443725586;210,838993357629;732,833254914189;True;-8,69524574279785;231,17562207447;779,807960720053
83773373,08;False;0;0;0;True;-8,59337902069092;229,112976357773;775,691770386829
83773388,083;True;-77,9110641479492;210,783570160694;732,856870408694;False;0;0;0
83773403,086;True;-77,9155578613281;210,852698040665;732,829305904369;True;-8,65961933135986;223,661494267007;764,709477990728
83773418,094;False;0;0;0;True;-8,58318614959717;222,319441555273;762,002557530306
83773433,091;True;-77,8927307128906;210,725297453264;732,887758511007;False;0;0;0
83773448,098;True;-77,8959503173828;210,812091000824;732,851490695207;True;-8,65637302398682;220,232488726157;757,989135833759
83773463,086;False;0;0;0;True;-8,61830615997314;219,364370232086;756,054770859378
83773478,041;True;-77,9243545532227;210,732827879668;732,881055474031;False;0;0;0
83773509,175;True;-78,6960678100586;214,542467287829;740,250922541351;True;-8,7092866897583;217,00472265067;751,352666327765
83773523,083;True;-78,6481781005859;214,181199551488;739,733411999892;False;0;0;0
83773538,08;True;-78,6937866210938;214,075118741754;739,616267370943;True;-8,85500812530518;215,582422663644;748,823240916366
83773553,095;False;0;0;0;True;-8,79607391357422;215,071498433472;747,754325731231
83773568,085;True;-78,7225570678711;213,975319895615;739,386871659202;False;0;0;0
83773583,082;True;-78,73583984375;213,704317489625;738,872165133648;True;-8,98347187042236;213,488948608386;744,509059555779
83773598,089;False;0;0;0;True;-8,98106670379639;212,721861490567;742,853070519705
83773613,081;True;-78,7298889160156;213,529065594158;738,630092289503;False;0;0;0
83773628,079;True;-78,7931365966797;213,636767787199;738,754635921316;True;-9,06726741790771;211,134570158855;739,710011665884
83773659,16;True;-78,9537506103516;213,701392158903;739,176103358678;False;0;0;0
83773673,086;True;-79,2524719238281;214,297963508868;740,410260914237;True;-9,57354640960693;196,881719745075;711,238039926716
83773688,083;True;-79,2336959838867;214,163623188737;740,129329549149;True;-9,60571765899658;198,420286565922;714,188322577148
